Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
Space Cream,01744,,,X,X,,,,,5,4,,,2,,3,,,3,,,,3,3,3,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Space Queen,
Timewreck"
Space Jill,01745,X,,,X,,,,,4,4,,4,1,4,,,,,,,,2,1,2,1,,,,,,,,,,,1.5,0.3,,0.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Space Queen
Space Monster,01746,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nebula
Space Needle,01747,X,,,X,,,,,3,3,,,,3,5,,,2,,,,3,3,,2,1,,1,,,,,,,0.9,2.1,,,0.7,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,"Blue Dream,
Vortex"
Special K,01748,,,X,X,,,,,3,2,,,,,5,4,,2,,,,2,5,,1,1,,,,,,,,1,,,,,,0.3,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Special Kush #1,01749,,X,,X,,,,,,4,,,,,5,3,,5,4,,,3,,5,,,,3,,,,,3,3,,1,,,,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,Afghani
Spirit of '76,01750,,,X,X,,,,,5,4,,,,3,5,,4,,,,,1,5,4,,,,,,1,,,1,,,3.5,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,
Spoetnik #1,01751,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sputnik,01752,X,,,X,,,,,3,5,,,4,4,4,,,,,,,3,4,3,,2,,,,,2,,,,,0.9,,,,1.6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,"Apollo 13,
Black Russian"
Star 47,01753,,,X,X,,,,,2,,,,,,2,2,,,,,2,2,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sensi Star,
AK-47"
Star Berry Indica,01754,,X,,X,,,,,4,3,,,2,,5,,,2,,,,5,,3,,3,,,,,,,,2,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Sensi Star"
Star Killer,01755,,X,,X,,,,,3,1,,,,,5,4,,3,,,,4,4,5,2,,,,,,,,,4,,0.7,0.4,,0.3,0.9,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,Skywalker OG
Star Master Kush,01756,,X,,X,,,,,,3,,,,,5,3,,5,,3,,5,5,3,,,,,,,,,,3,,1,,,,2,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,"Sensi Star,
Master Kush,
Medicine Man,
Platinum Kush"
Star Tonic,01757,,,X,X,,,,,3,,,,3,3,5,,,3,,,,5,3,5,,3,,,,3,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,"Death Star,
Cannatonic"
StarBud,01758,,X,,X,,,,,5,3,,,,,5,5,,4,,,,4,3,3,,,,,2,,,,,5,2.2,2.5,,,2.5,0.5,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Stardawg Guava,01759,X,,,X,,,,,,2,,3,3,1,,,,2,,,,3,3,,2,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,Chemdawg 4
Starry Night,01760,,,X,X,,,,,5,2,,4,,,3,,,4,,,,5,4,,3,,,,,,,,1,1,,1.2,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Stella Blue,01761,X,,,X,,,,,5,5,,5,,5,2,,,,,,,4,1,4,1,,,,,,,,1,,,0.5,,,,0.5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,Blueberry
Stephen Hawking Kush,01762,,X,,X,,,,,4,,,,,2,5,2,,2,,,,4,,5,3,,,,,3,,,,4,,1.1,0.4,0.4,0.5,1,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"Harle-Tsu,
Sin City Kush"
Stevie Wonder,01763,,,X,X,,,,,2,5,,2,,2,,,,,,4,,1,3,2,1,,,,,,,,3,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,1,,"Trainwreck,
Sensi Star,
Bubba Kush,
Blueberry"
Strawberry Amnesia,01764,X,,,X,,,,,,4,,4,,,3,2,,4,,,,5,5,,3,4,,,,,,,3,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,2,,,,,,,,,,"Strawberry Cough,
Amnesia"
Strawberry Mango Haze,01765,X,,,X,,,,,5,,,,,,5,,,4,,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,"Strawberry Cough,
Mango Haze"
Sublime,01766,X,,,X,,,,,4,5,,3,,,3,,,5,,,,4,,2,1,,,,2,,,,2,,0.5,0.5,,0.5,,0.5,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
Sugar Black Rose,01767,,X,,X,,,,,4,3,,,,2,5,,,3,,,,5,,4,,4,,,4,4,,,,,,0.8,,,0.4,0.5,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,"Black Domina,
Critical Mass"
Sugar Cookie,01768,,,X,X,,,,,4,3,,,,,5,3,,3,,,,5,4,5,,4,,,,,,,,4,,0.9,0.4,0.4,0.5,0.7,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,"Blue Hawaiian,
Sensi Star,
Crystal Gayle"
Sugar Kush,01769,,X,,X,,,,,5,,,,,,5,3,,3,3,,,5,3,3,,,,,,,,,5,4,,2,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,
Sugar Mama,01770,,X,,X,,,,,,,,,2,,5,3,,5,,5,,3,3,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Big Bud,
Blueberry"
Sugar Pine,01771,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Afghani,
Skunk No. 1"
Sugar Punch,01772,,,X,X,,,,,5,5,,,3,,4,,,,,,,4,3,2,3,,,2,,,,,,,0.4,2.5,0.4,0.8,,1.1,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Super Silver Haze,
The One"
Sugar Shack,01773,,,X,X,,,,,2,2,,,,,3,1,,2,,,,2,1,3,,,,,1,,,,,2,,1,,,0.5,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,
Summertime Squeeze,01774,X,,,X,,,,,,3,5,,3,5,,,,,,3,,,,,5,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,1,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumo Grande,01775,X,,,X,,,,,,,2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hong Kong
Sun Ra,01776,X,,,X,,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunburn,
Rebel God Smoke"
Sunburn,01777,X,,,X,,,,,,3,,3,3,,3,,,,3,,,3,,2,3,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Island Sweet Skunk,
Rug Burn OG"
Sunlight Skunk,01778,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skunk No. 1
Sunset Sherbet,01779,,X,,X,,,,,5,4,,,3,,5,,,4,,,,5,4,4,,2,,,,,,,2,,0.3,0.9,0.3,0.5,,0.8,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Girl Scout Cookies
Sunshine,01780,X,,,X,,,,,5,5,,,,,4,,3,4,,,,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine #4,01781,,,X,X,,,,,4,4,,3,,,5,,,3,,,,3,3,5,,,,,3,,,,,3,,,,,,,,,,,,,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunshine Daydream,
Chemdawg 4"
Sunshine Daydream,01782,,X,,X,,,,,4,3,,,1,,5,,,4,,,,5,3,5,,4,,,,3,,,,,0.2,2.3,,,,0.4,,,,2,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Appalachia,
Bubba Kush,
Blue Moonshine"
Supa Don,01783,X,,,X,,,,,5,4,,4,3,3,,,,,,,,2,2,,3,2,,,,,,,,,,4,4,,,4,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,"Trainwreck,
DJ Short Blueberry"
Super Blue Dream,01784,,,X,X,,,,,5,4,,,,,4,,3,4,,,,5,4,3,3,,,,,,,,2,,,1.2,0.4,0.2,0.4,0.5,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Super Silver Haze,
Blue Dream"
Super Bud,01785,,X,,X,,,,,3,,,,3,,5,,,3,,,3,2,,4,,,4,,,,,,2,3,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,"Big Bud,
Skunk No. 1"
Super Cat Piss,01786,X,,,X,,,,,1,1,,1,,,,,,2,,,1,3,,,,,,,1,,,,,1,,0.6,0.5,,,0.5,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Cheese,01787,,X,,X,,,,,,3,,,,,3,,,3,3,,5,1,1,5,1,,1,,,,,,,,,0.4,,,0.4,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Cheese,
Exodus Cheese"
Super Green Crack,01788,X,,,X,,,,,4,5,,5,,4,,,3,,,,,5,4,2,3,,,,,,,,3,,,1.3,0.6,0.4,0.2,1.1,,,,,,,,,,,1,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Super Silver Haze,
Green Crack"
Super Jack,01789,X,,,X,,,,,4,4,,5,,5,,,,4,,,,5,3,,2,2,,,,,,,4,,2.3,0.9,0.2,,0.3,1.4,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,"Super Silver Haze,
Jack Herer"
Super Kush,01790,,X,,X,,,,,5,3,,,,,5,,,3,,,,5,2,5,4,,,,,,,,2,,,2.7,0.4,0.3,0.2,1,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,"Northern Lights #5,
Hindu Kush"
Super Sour OG,01791,,,X,X,,,,,5,4,,,,,5,,,4,,,5,,5,3,4,,,3,,,,,4,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Sour Diesel,
OG Kush,
Lost Coast OG"
Super Sour Skunk,01792,,,X,X,,,,,5,4,,,,,,,4,3,,,4,4,5,4,3,,,,,,,,3,,0.5,,0.5,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"East Coast Sour Diesel,
Super Skunk"
Super Sour Widow,01793,,,X,X,,,,,4,4,,4,3,,,,,5,,,,4,2,3,3,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Super Sour Diesel,
White Widow"
Super Sweet,01794,,,X,X,,,,,4,,,,3,,,,3,3,,,5,5,5,,,1,,,,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Supergirl,01795,,X,,X,,,,,5,,,,,5,,4,,4,,3,,5,5,3,4,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,Skunk No. 1
Superglue,01796,,,X,X,,,,,5,4,,,,3,5,,,3,,,,5,4,4,2,,,,2,,,,,,0.2,0.6,0.2,,0.2,0.2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,"Northern Lights,
Afghani"
Superman OG,01797,,X,,X,,,,,4,3,,,,,5,5,,4,,,,5,3,5,4,,,,,,,,,4,,1,0.3,0.1,0.5,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,"Tahoe OG Kush,
Bubba Kush"
Supermax OG,01798,,,X,X,,,,,4,,,,,,5,2,,5,,4,,4,3,4,,,,,,,,,4,4,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,3,,,,,,,,,,OG Kush
Supernatural,01799,X,,,X,,,,,,5,,4,5,,4,,,5,,,,4,4,4,3,,,,,,3,,,,,,,,,2.8,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Grape Ape,
The Flav"
Supernova,01800,,,X,X,,,,,3,,,,,,5,4,,4,4,,,5,3,5,,,,,4,,,,,3,,1.1,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,
Superstar,01801,,,X,X,,,,,,1,1,,,,5,,1,2,,,,3,3,1,1,,,,,,,,,,,4,,,,0.5,,,,,,,,,,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Starfighter,
Supernatural"
Suzy Q,01802,,,X,X,,,,,,3,,2,,5,4,,,1,,,,3,,3,,,5,,3,3,,,,,,1.5,,,,1.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,
Swazi Gold,01803,X,,,X,,,,,3,,,,,,,,,4,3,,2,5,3,2,,3,,2,,,,,,,,2,,,2,0.2,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,African
Sweet and Sour Widow,01804,,X,,X,,,,,3,1,,,,2,5,4,,,,,,4,2,4,,,,,,2,,,,3,,0.9,0.5,,0.6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,White Widow
Sweet Berry,01805,,,X,X,,,,,3,4,,3,,3,,,,3,,,,2,,2,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Chernobyl,
Blueberry"
Sweet Black Angel,01806,,X,,X,,,,,4,,,,,,5,4,,4,3,,,4,5,,,4,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,"Super Silver Haze,
Black Domina"
Sweet Cheese,01807,X,,,X,,,,,44,5,,4,4,,,,,4,,,,5,5,,3,,,,1,,,,,2,0.3,2.1,2.1,,,0.3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"Cheese,
Black Jack"
Sweet Deep Grapefruit,01808,,X,,X,,,,,5,,,,,,5,,4,4,4,,,5,4,4,,,,,,3,,,5,,,2.5,,,,0.9,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Grapefruit,
Blueberry"
Sweet Diesel,01809,X,,,X,,,,,5,4,,,3,,3,,,4,,,,4,4,,5,4,,,3,,,,,,,2.2,0.2,0.8,0.3,0.5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,
Sweet Dream,01810,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gupta Kush
Sweet Dreams,01811,,,X,X,,,,,,,,,,,4,5,,,3,,,5,,,3,4,,,,,,,4,5,,1.3,,,,1.3,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Sweet Jane,01812,X,,,X,,,,,5,,3,,,4,,,,,,,,5,1,2,5,2,,,,,,,,,,1,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,Skunk No. 1
Sweet Kush,01813,,,X,X,,,,,3,3,3,,,,5,,,,,,,5,4,,3,,,,,,,,3,3,,0.9,0.5,0.3,0.4,0.6,,,,,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Sweet Lafayette,01814,,X,,X,,,,,2,1,,,,4,5,,,1,,,,3,2,2,,1,,,,,,,,1,,,,,0.5,,,,,,,,,,,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frankenstein,
Lemon OG Kush"
Sweet Nina,01815,,,X,X,,,,,,3,,,,,3,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hindu Kush
Sweet Pebbles,01816,,,X,X,,,,,4,2,,,4,,4,,,2,,,,,4,,,,,,4,1,1,,4,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Fruity Pebbles,
Sour Pebbles"
Tahoe Hydro Champagne,01817,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jesus OG
Tahoe Hydro OG,01818,,,X,X,,,,,,,2,,4,,,,,4,,4,,,3,5,3,3,,,,,,,3,,,,,,,1.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,"Tahoe OG Kush,
OG #18"
Taliban Poison,01819,,X,,X,,,,,2,,,,,2,2,,,,3,,2,,1,1,,,1,,1,,1,,,,,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,
Tangelo,01820,,,X,X,,,,,,,,1,1,1,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tangerine Sunrise
Tangelo Kush,01821,,,X,X,,,,,,,,,,,5,5,,1,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,"Chemdawg,
Burmese Kush"
Tangenesia,01822,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tangerine Haze
Tangerine,01823,,,X,X,,,,,5,4,4,,,,3,,,4,,,,3,4,3,,1,,,,1,,,,,0.4,0.8,,0.3,,0.6,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,
Tangerine Dream,01824,,,X,X,,,,,5,4,,4,,,4,,,5,,,,5,5,4,,3,,,,,,,3,,,2,0.2,0.4,0.5,0.9,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,"G13,
Afghani,
Nevil's Haze"
Tangerine Kush,01825,,X,,X,,,,,3,3,,,,,5,3,,3,,,,5,3,3,,,,,,,,,3,3,,1,0.4,0.3,0.1,0.6,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,"Tangerine Haze,
Rare Dankness #1"
Tangerine Man,01826,X,,,X,,,,,4,3,2,5,,,,,,5,,,,5,5,4,3,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Tangerine Power,01827,,,X,X,,,,,5,4,,,4,,5,,,4,,,,5,4,4,,3,,,2,,,,,,,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,"Agent Orange,
Blue Power"
Tangerine Sunrise,01828,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangilope,01829,X,,,X,,,,,5,5,,4,4,,,,3,,,,,4,4,4,5,,,,1,,,,,,,0.9,1.3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,"Tangie,
Chocolope"
Tembo Kush,01830,,,X,X,,,,,5,4,,5,,4,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,"Durban Poison,
OG Kush"
Terminator OG,01831,,X,,X,,,,,3,3,,3,,,3,,,,,,,4,,3,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OG Kush
Tesla,01832,,,X,X,,,,,3,3,,3,,3,3,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,3,,,,,,,,,,Harle-Tsu
Thai Girl,01833,,,X,X,,,,,3,5,,3,,,3,,,3,,,,4,3,,3,1,,,,,,,2,,,2,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,"Tres Dawg,
Thai"
THC Bomb,01834,,,X,X,,,,,5,4,,,,,5,,,4,,,,5,3,4,3,,,,,,,,,3,0.4,1,0.4,,0.9,2,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
The Black,01835,,X,,X,,,,,2,,,,,,5,4,,3,2,,,4,3,5,,,,,,4,,,,5,0.2,3.3,,,,2.7,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,
The Blintz,01836,,,X,X,,,,,,4,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,Cheese Quake
The Blood,01837,X,,,X,,,,,,3,3,,3,3,3,,,,,,,,3,,3,3,,,,,,,3,3,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,Kona Gold
The Brotherhood,01838,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cough,01839,X,,,X,,,,,,3,,3,,3,,,,4,,,2,3,2,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,"Northern Lights #5,
Haze"
The Doctor,01840,,X,,X,,,,,3,,,,,,3,3,,,,,3,3,3,3,,2,,,,2,,,,,,1.2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"Great White Shark,
Super Skunk,
South Indian Indica"
The Flav,01841,,,X,X,,,,,3,3,,,,,4,,,1,2,,,5,1,1,,,,,3,,,,3,,0.2,1.3,,0.2,0.3,1.2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,"Romulan,
Space Queen"
The Fork,01842,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grunk,01843,,,X,X,,,,,5,4,,,,,3,3,,4,,,,,3,3,1,2,,,,,,,3,,0.4,0.9,0.4,0.8,,0.6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,"Grape Ape,
Skunk No. 1"
The One,01844,,,X,X,,,,,5,3,,3,,,5,,,5,,,,4,5,3,4,,,,,,,,3,,,2.6,,,,2.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,
The Ooze,01845,,X,,X,,,,,2,,,,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,"Green Crack,
White Fire Alien OG"
The OX,01846,,X,,X,,,,,3,,,,2,,5,,,3,2,,,5,4,4,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Bubba Kush,
Blue Moonshine"
The Sauce,01847,,,X,X,,,,,5,,,4,4,,,,4,4,,,,5,5,4,4,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Green Ribbon,
Gorilla Glue #4"
